key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,1.0818754,16.323994,16.323994,16.623997,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.049942468,0.0008099,18.8405878,18.8405878,19.1406537,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,down,0.01,db,0.049885003,0.0008186,21.1736532,21.1736532,21.473823,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,down,0.01,db,0.049827604,0.0008769,23.5737522,23.5737522,23.8739313,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,down,0.01,db,0.049770271,0.0008529,25.9072125,25.9072125,26.2073276,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,down,0.01,db,0.049713004,0.0008915,28.2073685,28.2073685,28.5073748,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,down,0.01,db,0.049655802,0.0009064,30.6071389,30.6071389,30.9073976,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.01,db,0.049598667,0.0010612,32.9071413,32.9071413,33.2073799,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.01,db,0.049541597,0.0008248,35.2071895,35.2071895,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.01,db,0.049484593,0.0008002,37.4738593,37.4738593,37.7739451,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,down,0.01,db,0.049427655,0.0007745,39.7738299,39.7738299,40.0738258,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,down,0.01,db,0.049370782,0.0007992,42.0905832,42.0905832,42.3904745,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,down,0.01,db,0.049313974,0.0008412,44.4073167,44.4073167,44.7074029,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,down,0.01,db,0.049257232,0.0008081,46.7073356,46.7073356,47.0072537,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,down,0.01,db,0.049200555,0.0007799,49.0739228,49.0739228,49.3737733,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,down,0.01,db,0.049143944,0.0008856,51.4239881,51.4239881,51.7239833,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,down,0.01,db,0.049087397,0.0007251,53.7406062,53.7406062,54.0411511,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,down,0.01,db,0.049030916,0.000782,56.0572195,56.0572195,56.3572047,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,down,0.01,db,0.048974499,0.0008062,58.4240903,58.4240903,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,down,0.01,db,0.048918148,0.0009794,60.7072765,60.7072765,61.0071448,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,down,0.01,db,0.048861861,0.0008371,63.0407177,63.0407177,63.3406706,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,down,0.01,db,0.048805639,0.000837,65.4408402,65.4408402,65.7405871,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.01,db,0.048749482,0.0008453,67.8408305,67.8408305,68.1405712,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.01,db,0.048693389,0.0009248,70.1571397,70.1571397,70.4573351,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.01,db,0.048637361,0.0007561,72.5072092,72.5072092,72.807395,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
